pair_id	dataset_id	original_query	query_keywords
31	1030	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
32	788	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
33	7137	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
34	564	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
35	7501	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
36	6363	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
37	8282	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
38	7656	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
39	848	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
40	4661	need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free	latitude longitude time
41	1030	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
42	788	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
43	7137	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
44	564	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
45	7501	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
46	6363	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
47	8282	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
48	7656	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
49	848	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
50	4661	a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free	latitude longitude time
51	1030	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
52	788	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
53	7137	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
54	564	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
55	7501	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
56	6363	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
57	8282	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
58	7656	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
59	848	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
60	4661	a small spatio-temporal dataset with latitude/longitude and time variables	latitude longitude time
61	1030	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
62	788	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
63	7137	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
64	564	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
65	7501	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
66	6363	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
67	8282	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
68	7656	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
69	848	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
70	4661	 spatio-temporal, latitude/longitude, time variables, big size, CSV format 	latitude longitude time
71	2851	Which countries have latitude and longitude to query？	latitude longitude
72	4158	Which countries have latitude and longitude to query？	latitude longitude
73	1710	Which countries have latitude and longitude to query？	latitude longitude
74	1586	Which countries have latitude and longitude to query？	latitude longitude
75	4500	Which countries have latitude and longitude to query？	latitude longitude
76	1030	Which countries have latitude and longitude to query？	latitude longitude
77	769	Which countries have latitude and longitude to query？	latitude longitude
78	5947	Which countries have latitude and longitude to query？	latitude longitude
79	6142	Which countries have latitude and longitude to query？	latitude longitude
80	8519	Which countries have latitude and longitude to query？	latitude longitude
81	40	journal editorial board members name country institution	name country institution
82	8785	journal editorial board members name country institution	name country institution
83	7143	journal editorial board members name country institution	name country institution
84	2687	journal editorial board members name country institution	name country institution
85	9483	journal editorial board members name country institution	name country institution
86	307	journal editorial board members name country institution	name country institution
87	226	journal editorial board members name country institution	name country institution
88	1471	journal editorial board members name country institution	name country institution
89	6341	journal editorial board members name country institution	name country institution
90	4000	journal editorial board members name country institution	name country institution
91	40	dataset for journal editorial board members: name country institution	name country institution
92	8785	dataset for journal editorial board members: name country institution	name country institution
93	7143	dataset for journal editorial board members: name country institution	name country institution
94	2687	dataset for journal editorial board members: name country institution	name country institution
95	9483	dataset for journal editorial board members: name country institution	name country institution
96	307	dataset for journal editorial board members: name country institution	name country institution
97	226	dataset for journal editorial board members: name country institution	name country institution
98	1471	dataset for journal editorial board members: name country institution	name country institution
99	6341	dataset for journal editorial board members: name country institution	name country institution
100	4000	dataset for journal editorial board members: name country institution	name country institution
101	40	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
102	8785	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
103	7143	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
104	2687	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
105	9483	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
106	307	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
107	226	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
108	1471	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
109	6341	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
110	4000	Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.	name country institution
111	40	journal editorial board members dataset contains name country institution of its members	name country institution
112	8785	journal editorial board members dataset contains name country institution of its members	name country institution
113	7143	journal editorial board members dataset contains name country institution of its members	name country institution
114	2687	journal editorial board members dataset contains name country institution of its members	name country institution
115	9483	journal editorial board members dataset contains name country institution of its members	name country institution
116	307	journal editorial board members dataset contains name country institution of its members	name country institution
117	226	journal editorial board members dataset contains name country institution of its members	name country institution
118	1471	journal editorial board members dataset contains name country institution of its members	name country institution
119	6341	journal editorial board members dataset contains name country institution of its members	name country institution
120	4000	journal editorial board members dataset contains name country institution of its members	name country institution
121	40	need name country institution,or a website to collect it	name country institution
122	8785	need name country institution,or a website to collect it	name country institution
123	7143	need name country institution,or a website to collect it	name country institution
124	2687	need name country institution,or a website to collect it	name country institution
125	9483	need name country institution,or a website to collect it	name country institution
126	307	need name country institution,or a website to collect it	name country institution
127	226	need name country institution,or a website to collect it	name country institution
128	1471	need name country institution,or a website to collect it	name country institution
129	6341	need name country institution,or a website to collect it	name country institution
130	4000	need name country institution,or a website to collect it	name country institution
131	40	dataset for  journal editorial board members with name, country, institution	name country institution
132	8785	dataset for  journal editorial board members with name, country, institution	name country institution
133	7143	dataset for  journal editorial board members with name, country, institution	name country institution
134	2687	dataset for  journal editorial board members with name, country, institution	name country institution
135	9483	dataset for  journal editorial board members with name, country, institution	name country institution
136	307	dataset for  journal editorial board members with name, country, institution	name country institution
137	226	dataset for  journal editorial board members with name, country, institution	name country institution
138	1471	dataset for  journal editorial board members with name, country, institution	name country institution
139	6341	dataset for  journal editorial board members with name, country, institution	name country institution
140	4000	dataset for  journal editorial board members with name, country, institution	name country institution
141	40	journal editorial board members dataset which has name, country and institution	name country institution
142	8785	journal editorial board members dataset which has name, country and institution	name country institution
143	7143	journal editorial board members dataset which has name, country and institution	name country institution
144	2687	journal editorial board members dataset which has name, country and institution	name country institution
145	9483	journal editorial board members dataset which has name, country and institution	name country institution
146	307	journal editorial board members dataset which has name, country and institution	name country institution
147	226	journal editorial board members dataset which has name, country and institution	name country institution
148	1471	journal editorial board members dataset which has name, country and institution	name country institution
149	6341	journal editorial board members dataset which has name, country and institution	name country institution
150	4000	journal editorial board members dataset which has name, country and institution	name country institution
151	40	 journal editorial board members including name country institution	name country institution
152	8785	 journal editorial board members including name country institution	name country institution
153	7143	 journal editorial board members including name country institution	name country institution
154	2687	 journal editorial board members including name country institution	name country institution
155	9483	 journal editorial board members including name country institution	name country institution
156	307	 journal editorial board members including name country institution	name country institution
157	226	 journal editorial board members including name country institution	name country institution
158	1471	 journal editorial board members including name country institution	name country institution
159	6341	 journal editorial board members including name country institution	name country institution
160	4000	 journal editorial board members including name country institution	name country institution
161	40	journal editorial board member, name, country, institution	name country institution
162	8785	journal editorial board member, name, country, institution	name country institution
163	7143	journal editorial board member, name, country, institution	name country institution
164	2687	journal editorial board member, name, country, institution	name country institution
165	9483	journal editorial board member, name, country, institution	name country institution
166	307	journal editorial board member, name, country, institution	name country institution
167	226	journal editorial board member, name, country, institution	name country institution
168	1471	journal editorial board member, name, country, institution	name country institution
169	6341	journal editorial board member, name, country, institution	name country institution
170	4000	journal editorial board member, name, country, institution	name country institution
171	40	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
172	8785	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
173	7143	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
174	2687	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
175	9483	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
176	307	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
177	226	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
178	1471	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
179	6341	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
180	4000	I am looking for some dataset about journal editorial members which includes name and country institution.	name country institution
181	269	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
182	6438	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
183	206	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
184	2126	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
185	7096	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
186	17	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
187	3111	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
188	4626	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
189	621	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
190	99	need data about music, movie and software piracy,best have the number of people who have download illegal stuff	people download illegal stuff
191	8606	data about music, movie and software piracy,not only dates	dates
192	1702	data about music, movie and software piracy,not only dates	dates
193	2163	data about music, movie and software piracy,not only dates	dates
194	6958	data about music, movie and software piracy,not only dates	dates
195	7947	data about music, movie and software piracy,not only dates	dates
196	205	data about music, movie and software piracy,not only dates	dates
197	101	data about music, movie and software piracy,not only dates	dates
198	3113	data about music, movie and software piracy,not only dates	dates
199	6693	data about music, movie and software piracy,not only dates	dates
200	7675	data about music, movie and software piracy,not only dates	dates
201	7096	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
202	6438	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
203	5326	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
204	269	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
205	3660	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
206	621	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
207	17	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
208	1781	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
209	4902	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
210	206	I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders	number illegal downloaders
211	2896	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
212	226	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
213	5458	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
214	2687	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
215	8757	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
216	2663	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
217	5748	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
218	595	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
219	9483	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
220	1471	free US company datasets about name, a description of what it does, location(s), products/services offered	name description location products services
221	2896	free us company data about name, description, location, product	name description location product
222	226	free us company data about name, description, location, product	name description location product
223	595	free us company data about name, description, location, product	name description location product
224	6009	free us company data about name, description, location, product	name description location product
225	1715	free us company data about name, description, location, product	name description location product
226	7722	free us company data about name, description, location, product	name description location product
227	2687	free us company data about name, description, location, product	name description location product
228	8923	free us company data about name, description, location, product	name description location product
229	5458	free us company data about name, description, location, product	name description location product
230	2663	free us company data about name, description, location, product	name description location product
231	2896	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
232	226	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
233	5458	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
234	2687	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
235	8757	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
236	2663	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
237	5748	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
238	595	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
239	9483	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
240	1471	Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  	name description location products services
241	5077	free dataset about companies contains its' name, description, location, services offered	name description location services offered
242	3697	free dataset about companies contains its' name, description, location, services offered	name description location services offered
243	7390	free dataset about companies contains its' name, description, location, services offered	name description location services offered
244	2687	free dataset about companies contains its' name, description, location, services offered	name description location services offered
245	1471	free dataset about companies contains its' name, description, location, services offered	name description location services offered
246	9483	free dataset about companies contains its' name, description, location, services offered	name description location services offered
247	5015	free dataset about companies contains its' name, description, location, services offered	name description location services offered
248	5458	free dataset about companies contains its' name, description, location, services offered	name description location services offered
249	3286	free dataset about companies contains its' name, description, location, services offered	name description location services offered
250	6438	free dataset about companies contains its' name, description, location, services offered	name description location services offered
251	2896	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
252	226	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
253	5458	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
254	2687	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
255	8757	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
256	2663	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
257	5748	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
258	595	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
259	9483	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
260	1471	provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free	name description location products services
261	2896	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
262	226	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
263	5458	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
264	2687	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
265	8757	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
266	2663	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
267	5748	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
268	595	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
269	9483	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
270	1471	free datasets of companies (established business & startups) includes name, description of what it does, location(s), products/services offered.	name description location products services
271	2896	free datasets of companies including name,location,products/services	name location products services
272	6332	free datasets of companies including name,location,products/services	name location products services
273	226	free datasets of companies including name,location,products/services	name location products services
274	2687	free datasets of companies including name,location,products/services	name location products services
275	1781	free datasets of companies including name,location,products/services	name location products services
276	9483	free datasets of companies including name,location,products/services	name location products services
277	9086	free datasets of companies including name,location,products/services	name location products services
278	5458	free datasets of companies including name,location,products/services	name location products services
279	1471	free datasets of companies including name,location,products/services	name location products services
280	1932	free datasets of companies including name,location,products/services	name location products services
281	5748	US businesses, name, a description of what it does, location(s), products/services offered	name description location
282	8335	US businesses, name, a description of what it does, location(s), products/services offered	name description location
283	3500	US businesses, name, a description of what it does, location(s), products/services offered	name description location
284	2648	US businesses, name, a description of what it does, location(s), products/services offered	name description location
285	8628	US businesses, name, a description of what it does, location(s), products/services offered	name description location
286	2223	US businesses, name, a description of what it does, location(s), products/services offered	name description location
287	1335	US businesses, name, a description of what it does, location(s), products/services offered	name description location
288	5452	US businesses, name, a description of what it does, location(s), products/services offered	name description location
289	7461	US businesses, name, a description of what it does, location(s), products/services offered	name description location
290	8757	US businesses, name, a description of what it does, location(s), products/services offered	name description location
291	4198	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
292	134	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
293	5836	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
294	2687	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
295	1471	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
296	2999	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
297	8459	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
298	2030	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
299	9483	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
300	9121	Some data sets, there should be a name, a description of its role, location, product offerings, like Crunchbase	name description role location product offerings
301	3153	data from devices NYC bus taxi	nyc
302	2915	data from devices NYC bus taxi	nyc
303	939	data from devices NYC bus taxi	nyc
304	621	data from devices NYC bus taxi	nyc
305	7096	data from devices NYC bus taxi	nyc
306	2299	data from devices NYC bus taxi	nyc
307	1691	data from devices NYC bus taxi	nyc
308	1100	data from devices NYC bus taxi	nyc
309	9076	data from devices NYC bus taxi	nyc
310	5764	data from devices NYC bus taxi	nyc
311	3153	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
312	2915	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
313	939	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
314	621	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
315	7096	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
316	2299	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
317	1691	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
318	1100	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
319	9076	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
320	5764	I want some data sets related to vehicles and sensors, just like the NYC Bus,the NYC taxi 	nyc nyc
321	4182	dataset of websites tagged by the verticals they are working or their types	verticals types
322	1405	dataset of websites tagged by the verticals they are working or their types	verticals types
323	4113	dataset of websites tagged by the verticals they are working or their types	verticals types
324	6903	dataset of websites tagged by the verticals they are working or their types	verticals types
325	41	dataset of websites tagged by the verticals they are working or their types	verticals types
326	8123	dataset of websites tagged by the verticals they are working or their types	verticals types
327	6716	dataset of websites tagged by the verticals they are working or their types	verticals types
328	27	dataset of websites tagged by the verticals they are working or their types	verticals types
329	206	dataset of websites tagged by the verticals they are working or their types	verticals types
330	6685	dataset of websites tagged by the verticals they are working or their types	verticals types
331	311	tagged dataset about website type	type
332	209	tagged dataset about website type	type
333	248	tagged dataset about website type	type
334	235	tagged dataset about website type	type
335	145	tagged dataset about website type	type
336	245	tagged dataset about website type	type
337	40	tagged dataset about website type	type
338	152	tagged dataset about website type	type
339	1812	tagged dataset about website type	type
340	6422	tagged dataset about website type	type
341	4182	Provide websites tagged by the verticals they are working or their types.	verticals types
342	1405	Provide websites tagged by the verticals they are working or their types.	verticals types
343	4113	Provide websites tagged by the verticals they are working or their types.	verticals types
344	6903	Provide websites tagged by the verticals they are working or their types.	verticals types
345	41	Provide websites tagged by the verticals they are working or their types.	verticals types
346	8123	Provide websites tagged by the verticals they are working or their types.	verticals types
347	6716	Provide websites tagged by the verticals they are working or their types.	verticals types
348	27	Provide websites tagged by the verticals they are working or their types.	verticals types
349	206	Provide websites tagged by the verticals they are working or their types.	verticals types
350	6685	Provide websites tagged by the verticals they are working or their types.	verticals types
351	4182	dataset of websites with its vertical types	vertical types
352	1405	dataset of websites with its vertical types	vertical types
353	4113	dataset of websites with its vertical types	vertical types
354	6903	dataset of websites with its vertical types	vertical types
355	41	dataset of websites with its vertical types	vertical types
356	8123	dataset of websites with its vertical types	vertical types
357	6716	dataset of websites with its vertical types	vertical types
358	27	dataset of websites with its vertical types	vertical types
359	206	dataset of websites with its vertical types	vertical types
360	6685	dataset of websites with its vertical types	vertical types
361	4182	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
362	1405	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
363	4113	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
364	6903	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
365	41	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
366	8123	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
367	6716	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
368	27	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
369	206	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
370	6685	provide dataset of websites tagged by the verticals they are working or their types 	verticals types
371	7634	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
372	5146	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
373	6231	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
374	7876	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
375	4583	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
376	5665	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
377	927	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
378	5357	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
379	9288	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
380	975	dataset about topic tags of websites, e.g.  Amazon.com: ecommerce, fb.com: social networking	amazon.com fb.com
381	4182	website datasets tagged by the verticals of types	verticals types
382	1405	website datasets tagged by the verticals of types	verticals types
383	4113	website datasets tagged by the verticals of types	verticals types
